Country/Territory	DrugGroup
Namibia	Cocaine-type
Namibia	Hallucinogens
Namibia	Sedatives and Tranquillizers
Namibia	ATS
Namibia	ATS
Namibia	Cannabis-type
Namibia	Cocaine-type
Namibia	Cocaine-type
Namibia	Opioids
Namibia	Sedatives and Tranquillizers
Namibia	ATS
Namibia	ATS
Namibia	ATS
Namibia	ATS
Namibia	Cannabis-type
Namibia	Cocaine-type
Namibia	Cocaine-type
Namibia	Sedatives and Tranquillizers
South Africa	ATS
South Africa	ATS
South Africa	ATS
South Africa	ATS
South Africa	Cannabis-type
South Africa	Cannabis-type
South Africa	Cannabis-type
South Africa	Cannabis-type
South Africa	Cannabis-type
South Africa	Cannabis-type
South Africa	Cocaine-type
South Africa	Hallucinogens
South Africa	Opioids
South Africa	Opioids
South Africa	Sedatives and Tranquillizers
South Africa	Substances not under international control
South Africa	Substances not under international control
South Africa	Substances not under international control
South Africa	ATS
South Africa	ATS
South Africa	ATS
South Africa	Cocaine-type
South Africa	Hallucinogens
South Africa	Opioids
South Africa	Precursors
South Africa	Sedatives and Tranquillizers
South Africa	ATS
South Africa	ATS
South Africa	Cocaine-type
South Africa	Hallucinogens
South Africa	Opioids
South Africa	Precursors
South Africa	Sedatives and Tranquillizers
South Africa	Sedatives and Tranquillizers
South Africa	Substances not under international control
South Africa	ATS
South Africa	ATS
South Africa	ATS
South Africa	ATS
South Africa	ATS
South Africa	ATS
South Africa	Cannabis-type
South Africa	Cannabis-type
South Africa	Cannabis-type
South Africa	Cannabis-type
South Africa	Cocaine-type
South Africa	Hallucinogens
South Africa	Opioids
South Africa	Precursors
South Africa	Sedatives and Tranquillizers
South Africa	Substances not under international control
South Africa	Substances not under international control
Zambia	ATS
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cocaine-type
Zambia	Opioids
Zambia	Opioids
Zambia	Other miscellaneous
Zambia	Precursors
Zambia	Substances not under international control
Zambia	Substances not under international control
Zambia	ATS
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cocaine-type
Zambia	Opioids
Zambia	Opioids
Zambia	Sedatives and Tranquillizers
Zambia	Sedatives and Tranquillizers
Zambia	Substances not under international control
Zambia	Substances not under international control
Zambia	Substances not under international control
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cocaine-type
Zambia	Opioids
Zambia	Opioids
Zambia	Other miscellaneous
